Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.74,0.45,0.86,0.75,0.3,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=3.0,force_alpha=False),'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':3.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.77,0.75,0.8,0.48,0.83,0.79,0.35
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.74,0.45,0.86,0.75,0.3,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=3.0,force_alpha=True),'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':3.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.77,0.75,0.8,0.48,0.83,0.79,0.35
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.74,0.45,0.86,0.75,0.3,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=3.0,force_alpha=True),'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':3.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.77,0.75,0.8,0.48,0.83,0.79,0.35
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.74,0.45,0.86,0.75,0.3,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=3.0,force_alpha=True),'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':3.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.77,0.75,0.8,0.48,0.83,0.79,0.35
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.74,0.45,0.86,0.75,0.3,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=3.0,force_alpha=True),'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':3.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.77,0.75,0.8,0.48,0.83,0.79,0.35
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.74,0.45,0.86,0.75,0.3,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=3.0,force_alpha=True),'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':3.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.77,0.75,0.8,0.48,0.83,0.79,0.35
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.78,0.81,0.76,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=True),'n_estimators':11,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.77,0.74,0.81,0.49,0.83,0.8,0.37
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.78,0.81,0.76,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=True),'n_estimators':11,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.77,0.74,0.81,0.49,0.83,0.8,0.37
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.78,0.81,0.76,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=False),'n_estimators':11,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.77,0.74,0.81,0.49,0.83,0.8,0.37
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.78,0.81,0.76,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=False),'n_estimators':11,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.77,0.74,0.81,0.49,0.83,0.8,0.37
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.78,0.81,0.75,0.44,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=4.5,force_alpha=False),'n_estimators':101,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':4.5,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.03,0.77,0.74,0.81,0.49,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.78,0.81,0.75,0.44,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=4.5,force_alpha=False),'n_estimators':101,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':4.5,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.03,0.77,0.74,0.81,0.49,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.78,0.81,0.75,0.44,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=4.5,force_alpha=True),'n_estimators':101,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':4.5,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.03,0.77,0.74,0.81,0.49,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.78,0.81,0.75,0.44,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=4.5,force_alpha=True),'n_estimators':101,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':4.5,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.03,0.77,0.74,0.81,0.49,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.78,0.81,0.76,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=False),'n_estimators':31,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.77,0.74,0.81,0.49,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.78,0.81,0.76,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=False),'n_estimators':31,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.77,0.74,0.81,0.49,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.78,0.81,0.76,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=False),'n_estimators':31,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.77,0.74,0.81,0.49,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.78,0.81,0.76,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=False),'n_estimators':31,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.77,0.74,0.81,0.49,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.78,0.81,0.76,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=True),'n_estimators':31,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.77,0.74,0.81,0.49,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.78,0.81,0.76,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=True),'n_estimators':31,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.77,0.74,0.81,0.49,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.78,0.81,0.76,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=True),'n_estimators':31,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.77,0.74,0.81,0.49,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.78,0.81,0.76,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=True),'n_estimators':31,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.77,0.74,0.81,0.49,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.75,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=False),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.77,0.74,0.81,0.49,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.75,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=False),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.77,0.74,0.81,0.49,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.75,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=False),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.77,0.74,0.81,0.49,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.75,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=False),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.77,0.74,0.81,0.49,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.75,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=False),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.77,0.74,0.81,0.49,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.75,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=False),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.77,0.74,0.81,0.49,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.75,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=True),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.77,0.74,0.81,0.49,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.75,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=True),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.77,0.74,0.81,0.49,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.75,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=True),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.77,0.74,0.81,0.49,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.75,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=True),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.77,0.74,0.81,0.49,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.75,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=True),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.77,0.74,0.81,0.49,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.75,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=True),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.77,0.74,0.81,0.49,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.74,0.45,0.86,0.75,0.3,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.5,force_alpha=False),'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':2.5,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.77,0.75,0.79,0.48,0.83,0.79,0.35
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.74,0.45,0.86,0.75,0.3,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.5,force_alpha=False),'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':2.5,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.77,0.75,0.79,0.48,0.83,0.79,0.35
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.74,0.45,0.86,0.75,0.3,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.5,force_alpha=True),'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':2.5,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.77,0.75,0.79,0.48,0.83,0.79,0.35
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.74,0.45,0.86,0.75,0.3,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.5,force_alpha=False),'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':2.5,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.77,0.75,0.79,0.48,0.83,0.79,0.35
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.74,0.45,0.86,0.75,0.3,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.5,force_alpha=True),'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':2.5,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.77,0.75,0.79,0.48,0.83,0.79,0.35
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.74,0.45,0.86,0.75,0.3,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.5,force_alpha=True),'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':2.5,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.77,0.75,0.79,0.48,0.83,0.79,0.35
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.74,0.45,0.86,0.75,0.3,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.5,force_alpha=False),'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':2.5,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.77,0.75,0.79,0.48,0.83,0.79,0.35
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.74,0.45,0.86,0.75,0.3,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.5,force_alpha=True),'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':2.5,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.77,0.75,0.79,0.48,0.83,0.79,0.35
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.74,0.45,0.86,0.75,0.3,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.5,force_alpha=False),'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':2.5,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.77,0.75,0.79,0.48,0.83,0.79,0.35
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.74,0.45,0.86,0.75,0.3,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.5,force_alpha=True),'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':2.5,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.77,0.75,0.79,0.48,0.83,0.79,0.35
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.74,0.45,0.86,0.75,0.3,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.5,force_alpha=True),'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':2.5,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.77,0.75,0.79,0.48,0.83,0.79,0.35
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.74,0.45,0.86,0.75,0.3,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=2.5,force_alpha=False),'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':2.5,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.77,0.75,0.79,0.48,0.83,0.79,0.35
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.75,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=False),'n_estimators':19,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.77,0.74,0.81,0.48,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.75,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=False),'n_estimators':19,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.77,0.74,0.81,0.48,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.75,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=False),'n_estimators':19,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.77,0.74,0.81,0.48,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.75,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=False),'n_estimators':19,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.77,0.74,0.81,0.48,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.75,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=False),'n_estimators':19,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.77,0.74,0.81,0.48,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.75,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=True),'n_estimators':19,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.77,0.74,0.81,0.48,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.75,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=True),'n_estimators':19,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.77,0.74,0.81,0.48,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.75,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=True),'n_estimators':19,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.77,0.74,0.81,0.48,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.75,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=False),'n_estimators':19,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':False,'norm':False}",0.01,0.77,0.74,0.81,0.48,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.75,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=True),'n_estimators':19,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.77,0.74,0.81,0.48,0.83,0.8,0.36
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.83,0.75,0.45,0.87,0.76,0.31,BalancedBaggingClassifier,"{'estimator':ComplementNB(alpha=5.0,force_alpha=True),'n_estimators':19,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,ComplementNB,"{'alpha':5.0,'class_prior':None,'fit_prior':True,'force_alpha':True,'norm':False}",0.01,0.77,0.74,0.81,0.48,0.83,0.8,0.36
